Genre,Artist,Song,Lyric
Metal,Melvins,Hdyf,"
"
Metal,Zakk Wylde,I Thank You Child,"All for you
Everlasting love forever skies of blue
All in your heart
Never ending just a means for start

[Chorus]
Comfort in your eyes
For the warmth inside your smile
Faith's done gone astray
It was you who made living all worth the while
I thank you my child
It was you who made living all worth the while
I thank you my child

With the touch of your hand
Amidst confusion I can see enough to understand
All my fears repressed
Oh lovin' you child it's the best

[Chorus]

You're all &amp; everything to me
Til the end of times you know you'll always be
Ain't no second guess
Oh you put my worried soul to rest

"
Metal,Zemial,In The Arms Of Hades,"Black winged demons haunt the dungeons where the moment has no end
Unwept you shall be sent into the endless void of Tartarus
Below in Cimmerian ancient temples your fate you will meet - I foresee
No warmth of dawn can ever break the silence
Of the (coldest) nights down there

Morpheus the son of sleep with mighty wings that make no sound
Invades thy dreams with memories, illusions from the house of Hypnos
The water of Black Acheron doth echo through your mind
From waters you did come and now you shall go
To the waters of Black Acheron!

The seas of sleep hold you in their depth
Distant screams - in Phlegethon there's only death
Among the sons of man move forever
Strange, silent, shadows...

The Foghorn of XAPÎ©N signs gently to thee
Resist not what is law!
Bite hard thy fare and surrender
To the bringer of woe
The veil of sleep now gently falls and never you forget...
Among your sons move forever, strange, silent shadows

[Vorskaath 1996]

"
Metal,Znowhite,War Machine,"Youâre no stranger
Youâve been this way before
Time and time again
For senseless reasons why
Bringer of danger
Like the scars that are left when a baby is born
Youâll taste my fire and ice

Oh! You feel me coming
As fate is knocking at your door
Ah! My burning hunger
Bringing pain for evermore

[Chorus:]
I am the war machine that stares you in the face
Eyes to the sky and you know the end is near
I am the war machine; I can burn the sun from the sky
Take away tomorrow; bring truth to all your fears

Eyes of fire
That burn with desolation
Your cries of pity cast aside
Mind of destruction
And Iâll take away all your promised dreams
You take for granted, I take for free

Oh! You feel me coming
As fate is knocking at your door
Ah! My burning hunger
Bringing pain for evermore

[Chorus]

Pray for justice
But I doubt this day will come
You feel your back against the wind
Try to fight me
So you take your sword at hand
Iâm living death, oh canât you see

Oh! You feel me coming
As fate is knocking at your door
Ah! My burning hunger
Bringing pain for evermore

[Chorus]

Raping thunder
The smell of burning bones
Not a thing for eyes to see
The stench of raging death
The vows of vengeance kept
All unlucky cannot flee

Using infra red
Attacking in the dark
Danger starts to take its toll
Blood infested soil
Encrusted fields of hate
See them die young and old

[Chorus]

"
Metal,Melvins,Dry Drunk,"
"
Metal,Melvins,(Star),"
"
Metal,Damnation Angels,The Frontiersman,"I dream of a new life
An oath that's to repay
A light for tomorrow
Hope for a better day
I set sail to a new land
A foolish man, they say
As I make my final journey to the frontier far away

The dawn of a new world
Singing ahaha
And my home is here

I walk to my new life in that frontier far away
This place had no memory but cuts of my pain
And one day I wander and saw her by the lake
A thing of beauty looked at me and took my heart away
She walked me to a place beyond the hills
To people there with open arms
The took me in and treated me like their own
Gave me love that I had never known

We sing ahaha
Our times grow in here
Ahaha
And my home is here
We sing ahaha
And don't ever leave her
Ahaha
But they're coming, I fear

We gaze at the moonlight
And tell us around the fire
Drink to the memories that feel so at home
But tomorrow they come to take it all away
I'd be damned if I don't stand in their way

But tomorrow they come to take it all away
I'd be damned if I don't stand in their way
I'd be damned if I don't stand in their way

So we fought to our last breath
As we fell to the ground
Memories flashed before us
Our hearts made the sound
We were always outnumbered
And doomed from the start
It'd be damned if we didn't do as we were posed
Damned if we didn't do white father's pose
Damned if we didn't stand our own ground

I went to the frontier it seemed so long ago
I dreamed of a new life but found my new home
And as we lay here our spirit appears
Destiny carries us away with the leaves

We sing ahaha
The fire's strong in here
Ahaha
But my home is here
And sing ahaha
And I'll never leave her
Ahaha
And now we stand together
Now we stand

"
Metal,Zeromancer,V,"I don't want to be blind
I don't want to be tied up in this pain
It's a guilt thing It's a blood drive
The final kiss 
how this world can rescue us

Help me god I can't control myself 
Help me god I can't control myself
Help me god I can't control myself 
Help me god I can't control myself

I don't want to be blind (blind)
Don't want to be vain (vain)
I don't want to be tied up in this pain
I don't want to be vile (vile) 
Don't want to admit
I don't want you to treat me like shit

Help me god I can't control myself 
Help me god I can't control myself
Help me god I can't control myself 
Help me god I can't control myself

Taking the one out of one love 
how come it feels so numb
taking the to out of together
Put the N back in ever

I don't want to bleed
I don't want to forget what I feel

Help me god I can't control myself 
Help me god I can't control myself
Help me god I can't control myself 
Help me god I can't control myself

Taking the one out of One love 
How come it feels so wrong
Taking the to out of together
Put the N back in ever

It's a guilt thing
It's a blood drive
The final kiss of this world
of this world

Taking the third out of your act
How come I don't react
Taking the for out of forever
Put the N back in ever



"
Metal,Acid King,Blaze Out,"[Instrumental][performed by Acid King]
Joey Osbourne: drums
Brian Hill: bass (track 3)
Lori S.: guitars, vocals
Guy Pinhas: bass (tracks 1-2, 4)

Thanks to danbarsky53 for sending track #2 lyrics.


"
Metal,Zakk Wylde,Autumn Changes,"As I stand upon these shores of lies and deceit 
The tides that turn against you 
And the storms that one cannot see 
Just like a storm that keeps on rolling 
Forever rolling on 
My autumn changes have come and gone 
Like the falling leaves and the memory of what you've become 

The cold wind blows upon your senseless fall from grace 
Behind the mask of greed, I could not see your face 
Just like a storm that keeps on rolling 
Forever rolling on 
My autumn changes have come and a gone 
Like the falling leaves and the memory of what you've become 
My autumn changes have come and gone 
Gone, gone, gone, gone, gone...

"
Metal,Zombie Inc,Better Off Dead,"Alive and well is overrated.
The Job, the Wife and all that Shit I hated...
...is gone for good and long forgotten.
No use for Soap, my Skin and Teeth are rotten.

No Morals.
No Laws.
No Sorrow.
Because...

I Am better off Undead.
I Am happier than you.

Travails and Fears became outdated.
Belief and Hope are desecrated.
Loans and savings, now obsolete.
Flesh of Man is really all I need.

The grinding of Jaws.
So fucking Joyful.
Because...

I Am better off Undead.
I Am happier than you.
I Am better off Undead.
Soon you will be Undead too.

Reaping the Flesh of Mankind.
Sowing my Seed.
Anger is my Peace of Mind.
Lust is my Creed.

No Morals.
No Laws.
True Anarchy.
Because...

I'm way better off Undead.

Fuck Life, thats right and you living Losers too.
Because Tonight I will be coming for you.

"
Metal,Acrimonious,On Serpent Wings,"


"
Metal,Zakk Wylde,Sold My Soul,"Without you woman by my side
I'm contemplating suicide torn from all my pride
A man tells me, son that ain't the way
Gonna make a deal with you child
Gonna live another day
Just sign right here son
Everything will be alright

[CHORUS:]
*Oooo-oh
Ain't nothing I wouldn't do
*Oooo-oh
All &amp; everything for you
*Oooo-oh
Your love is all I know and ever knew
*Oooo
Therefore I have sold my soul for you
*Oooo-oh
*Oooo-oh

I was told by this man it would be worth my while
He'd return me to my woman
Return me to my smile ----
It's all I ask for in this life
Whatever's wrong son he told me he'd make right

Just sign right here child
Everything going to be alright

[CHORUS]

All for you

[SOLO]

Just sign right here son
Everything going to be alright

[CHORUS]

[OUT SOLO]

"
Metal,Zero Degree,Tomorrow Dies Today,"Say, can you see the rising darkness on the horizon?
Say, can you feel the dying light in the sky?

Time is up to speak empty words of a final prayer,
Underneath my skin hope makes way for fear

Appearance of the end
Appearance of the end
Tomorrow dies today
Tomorrow dies today

Circles of sorrow are cutting deeply in my face
Dissolve in tears, I recognize this fate

For fear! Appearance of the end
For fear! Appearance of the end
Tomorrow dies today
Tomorrow dies today

"
Metal,Melvins,At The Stake,"Maybe once and maybe came away
I took a quarter of your witches
Fed them all aside
The weaker of the fortunes mystery
Hasn't yet all appeared to me
But then I never wanted more than three

Shade's know any reason
Flames are all I see
Reality's been forsaken maybe
Stirring all on a lee

So it seems and so it's came away
Might be the voicing frighten
And so it's gotten me
The weaker of the fortune's mystery
Has finally pissed indee
Indeed, made it for the eve

Shade's know any reason
Flames are all I see
Reality's been forsaken maybe
Stirring all on a lee
Now they're gonna burn me
Make all my flesh away
Real green turning half ball shaken
Leave me for a day.

"
Metal,Melancholy Pessimism,Abdominal Orgasm,"Edge of an axe hewed into a woman's head

Blood?! Wonderful!!

Who is next?

Two sweet little girls.

Just a few hits to these girls faces.

And then a knife open and throwing

All the guts around.

Intestines, kidneys, livers.

Abdominal orgasm

Gross disgusting climax.

Cut off the dead foetus

out of female corpse.

Cut the belly open

and then penetrate the dead body's genitals.

And the would watch his dreadful act

through the open belly.

Abdominal orgasm

Gross disgusting climax.

The end? after several orgasm.

"
Metal,Zombie Inc,Cum Undone,"My girl got bit the other day and passed away.
She still has not returned.
I tied her up and washed her Skin all squeaky clean.
This time I wonât be spurned.

Will it feel the same... when I give it to you, Baby?
Would it be alright... if your Mom could join us, maybe?

Iâm scared as Shit of getting sick with Necro-Dick.
Not safe to go bareback.
One cannot kiss or even lick A Zombie Chick.
Infected is her Crack.

Will it feel the same... when I make love to you, Honey?
Would it be O.K. with you... If I sell your Ass for Money?

Does she decompose?
Will I have to hold my nose?
Can I make her cum...
...or will she come undone?

My girl got bit the other day and passed away.
Sheâs perfect to A Tee.
And once she will be back with me, eventually.
Iâm happy as can be.

Will it feel the same... when I stick it to you, Muffin?
Is it fine with you... That I spare you from the Coffin?

"
Metal,Melechesh,"Genies, Sorcerers And Mesopotamian Nights","[Music: Ashmedi, Moloch / Lyrics: Ahsmedi]

The fire is burning
The temple is standing high
Priests of the seven elders
Are conjuring his might
The sphinx flies in the mystic black sky
Ecstasy winds blow over the magical plains
Terrestrial power chain and magnetize
The lunar key of Nebo's lands
Celestial power chain and magnetize
The solar gate opened by Nergal's hands

The Order Of Mesopotamia will rise
The post wisdom treasure will finally be earned
Secrets unveiled in the most abstract ways
Genies, Sorcerers
Genies, Sorcerers and Mesopotamian tales

End of all days, watch the new way
The rites of infernal magic in this tale

The warlock, the witch and the wizard will bind
Triangling the last tower of might
Rites of Nazu the desert behold
Summoning the great entity of gold

The Genii is near
My search ends here
Lord of magicians
I journeyed the night
Forever in the night
The maze of the deep

Mesopotamian nights

End of all days, watch the new way
The rites of infernal magic in this tale

The fire is burning the temple is standing high
The warlock, the witch, the wizard will burn
End of all days, watch the new way
The rites of infernal magic in this tale

[Lead: Ashmedi]

The warlock, the witch and the wizard will bind
Triangling the last tower of might
Rites of Nazu the desert behold
Summoning the great entity of gold

The Genii is near
My search ends here
Rites of magicians
I journeyed the night
Forever in the night
The maze of the deep
We walk and we walk
The plains of Uruk
In search for the Talisman
Beyond the realms of the suspended rock
We continue this tale...

"
Metal,Mekong Delta,Symphony Of Agony,"Caught in Eternity
where you be lost in a dream

Where you can see what we forgot
where you can be a kind of god
unchained and free as it was thought
and then a wake up just to see

a Symphony of Agony
the Insanity of Reality

Crying soldiers
Bursting bunkers
Creeping humans dying

Alone on this battlefield
so called live lost full of hate

Nothing to see we all forgot
Nothing will be left by god
Outside a dream nightmare controlled
no need to wake up face the

Symphony of Agony
the Insanity of Reality

Dark clouds flying
Blood sun burning
Cold moon crying
Last men dying
Wiped out

The pride of mankind a threat, I am sorry
will lead to nothing
compromising evidence out of the past

A disillusion
No sweet surrender
outside the inside
mutilated aspiration
ease of mind
One last solution
clear up confusion now

Open your mind.
Don't leave your dream
And apprehend what I could mean.
Don't wake up!

"
Metal,Zed Yago,Stay The Course,"You're not born to beg somebody 
you're not a great big lie. 
You know, you need somebody 
who is gonna' taking your high 
You know what you need 
do you know what you can get 
down and out in the street 
white sheets in a cold sweat. 

Shout it out, shout, stay the course, 
shout it out, shout, 
don't beg someone just to give 
shout it out, shout, 
them all down, it's a great relief 
if you don't beg somebody just to live. 

An eye for an eye 
and a tooth for a tooth 
only say good bye 
before you're bound to loose, 
and than when you have to hit the road. 

Shout

"
Metal,Mekong Delta,Imagination,"[R. Hubert, R. Hubert]

Can't they imagine that we (don't) need no more
no more fighting
'cause what is it for 
They all fooled us
These stupid rulers
Those who followed
soon were swallowed 
And what they told us has never been untrue Don't they feel
that there are other things to do 
What are they there for
If they rule no more
What are they there for 
Time to end the suffering
Out of nothing something
And we will not discuss it anymore 
Time to stop the fighting
Nowhere left for hiding
And on all of our leaders we wage war 
Time to stop the talking
Destiny is knocking
And you can't run away from the door 
All these discussions about these stupid wars
Only talking
as if they can't do more 
What the past shows
Is when fear grows
All these leaders
Talk like preachers 
Then they move people like puppets in a store
Without a feeling
They will move some more 
What are they there for
If they rule no more
What are they there for 
Time to end the suffering
Out of nothing something
And we will not discuss it anymore 
Time to stop the fighting
Nowhere left for hiding
And on all of our leaders we wage war 
Time to stop the talking
Destiny is knocking
And you can't run away from the door

"
Metal,Melvins,Hospital Up,"
"
Metal,Zao,A Fall Farewell,"In a time of quietness I reflect on childhood memories 
Caught wisping through my mind 
Falling leaves create the stage 
Words spoken were not cherished 

On the last day of our friendship 
And those words were possibly the last 
What were your thoughts 

As a dreaming child I awaken to a nightmare 
After a gentle nudge I find out you're gone 

The machines that kept you alive were careless 
Did you ask Him to forgive you 
Before, before you passed on you slipped 
You slipped, you passed on 
The machines that kept you alive were careless 
Did you ask Him to forgive you 
Before you passed on 

You slipped on away into the ground 
You broke the vanity 
You brought the silence

"
Metal,Zanister,Egyptian Nights,"Egyptian nights they do you well
I sense its' misery, I breathe its' spell
I walk the streets now, it seems unreal
I have returned, for my appeal
Forgive me my tragedy
Mercy please your majesty

I feel you, my Queen's delight
I served you, on an Egyptian Night

Across the Nile, before eyes of dread
I killed the pharaoh, as you said
You promised riches, eternal life
I was condemned, it was my price
Forgive me my tragedy
Mercy please your majesty

I feel you, my Queen's delight
I served you, on an Egyptian Night

I was your lover, I was your fool
I still never knew
You signed my sentence, a fate of death
I still wait for you

Into the void, my soul did stay
Forever searching, for this day
You're with the gods now, as you should
Four thousand years, I understood
Forgive me my tragedy
Mercy please your majesty

I feel you, my Queen's delight
I served you, on an Egyptian Night

Egyptian nights they did you well
I am its' misery, I live its' spell

Lineup:
Brian Sarvela - vocal
David T. Chastain - guitar
Michael Harris - guitar
James Martin - bass guitar
Brian Harris - drums




"
Metal,Damageplan,Explode,"I FEEL YOU STARE
WATCH ME NOT CARE
GLARE AT THE FREAK
YOU'VE NO CONTROL
FEEL YOUR EYES PROBING ME, JUDGEING ME
ONLY MAKES ME WANT TO EXPLODE, JUST EXPLODE

YOU DONT KNOW ME
BUT YOU FEAR ME
TAINTED WITH INK
RIDDLED WITH HOLES
STARING AND POINTING, STUPIDITY
ONLY MAKES ME WANT TO EXPLODE, JUST EXPLODE

STEREOTYPE ME
CATEGORIZE ME
BEHIND MY BACK, BUT I CAN SEE
THE UNCOMFORTABLE SMILE
ONLY HIDES FOR AWHILE
WHAT YOU'RE REALLY FEELING BENEATH

ALL THAT YOU SEE
SCARS THAT MADE ME
SEE IN YOUR EYES
ALL YOU DESPISE
JUDGE ME BY WHAT YOU SEE, LEAVE ME BE
GET AWAY I'M GOING TO EXPLODE, JUST EXPLODE

FEAR WHAT YOU DON'T UNDERSTAND
IT WILL ALWAYS BE 
FEAR WHAT YOU DON'T UNDERSTAND

AS IT ALWAYS WAS
FEAR WHAT YOU DON'T UNDERSTAND
IT WILL ALWAYS BE
FEAR WHAT YOU DON'T UNDERSTAND
I JUST WANT TO EXPLODE

"
Metal,Zao,Fifteen Rhema,"My heart is deceived by 
My eyes my actions in the name of beauty 
I'm sickened and strangled 
By myself that I would allow an unyielded desire to lead me astray 
Put to shame by my lack of trust I confess my faults with tears 

Manifestations of Your grace fill me 
Revelations of forgiveness wounds healed by wounds 
The Father's mercy 
Peace beyond understanding love from You 
That I don't deserve 
Don't deserve [4x]
I shut my eyes I still my feelings 
Feelings, feelings 
Listening with closed eyes I rest in Your guidance 
I rest in Your guidance 
Trusting You 
Sensing You I listen and hear 
Abide in me [4x]

"
Metal,Zeromancer,Flagellation,"Decoding every word you say
When you hurt yourself
There has to be a better way
for you to hate yourself

cause you don't understand
what I'm trying to say to you
You don't understand
I am here to help you

Flagellation Flagellation
Take the pain of a modern nation
Flagellation Flagellation
Take the pain, take the violation

It's gonna be allright

I punish you for every kiss
Look what you stole from me
Blessing you for all your sins
Hey you, you can never win

if you don't understand
what I'm trying to say to you
You don't understand
anything at all

Flagellation Flagellation
Take the pain of a modern nation
Flagellation Flagellation
Take the pain, take the violation

It's gonna be allright

Right here
only pain's gonna set you free
right now
you mean nothing to me

Flagellation Flagellation
Take the pain of a modern nation
Flagellation Flagellation
Take the pain, take the violation
Flagellation Flagellation
Come clean through the flagellation
Flagellation Flagellation
Take the pain, take the violation, yeah

Everything's gonna be OK
Everything's gonna be allright

"
Metal,Zeraphine,New Year S Day,"[Originally by U2]

All is quiet on New Year's Day
A world in white gets underway
I want to be with you
Be with you night and day
Nothing changes on New Year's Day
On New Year's Day

I will be with you again
I will be with you again

Under a blood red sky
A crowd has gathered in black and white
Arms entwined, the chosen few
The newspapers says, says
Say it's true it's true...
And we can break through
Though torn in two
We can be one

I...I will begin again
I...I will begin again

"
